origem,quantidade,destino_proposto,estado
appointment_event_history,44,Arquivo histórico segregado com adaptador de consulta a definir,SEM_ADAPTADOR_CONFIRMADO
appointment_no_show_predictions,30,Arquivo histórico segregado com adaptador de consulta a definir,SEM_ADAPTADOR_CONFIRMADO
appointment_types,0,calendar_event_types,MAPEAR_E_VALIDAR
appointments,30,calendar_appointments,MAPEAR_E_VALIDAR
billing_audit_log,0,Arquivo histórico segregado com adaptador de consulta a definir,VAZIA_NESTE_LEVANTAMENTO
calendar_blocks,0,Arquivo histórico segregado com adaptador de consulta a definir,VAZIA_NESTE_LEVANTAMENTO
channel_routing_rules,0,Arquivo histórico segregado com adaptador de consulta a definir,VAZIA_NESTE_LEVANTAMENTO
companies,0,Arquivo histórico segregado com adaptador de consulta a definir,VAZIA_NESTE_LEVANTAMENTO
contact_identities,2476,contacts.source_metadata + identidade social na conversa; adaptador a implementar,MAPEAR_E_VALIDAR
contacts,3113,contacts,MAPEAR_E_VALIDAR
crm_ai_alerts,106,Arquivo histórico segregado com adaptador de consulta a definir,SEM_ADAPTADOR_CONFIRMADO
crm_ai_analyses,53,Arquivo histórico segregado com adaptador de consulta a definir,SEM_ADAPTADOR_CONFIRMADO
crm_ai_briefings,2,Arquivo histórico segregado com adaptador de consulta a definir,SEM_ADAPTADOR_CONFIRMADO
crm_ai_chat_messages,25,Arquivo histórico segregado com adaptador de consulta a definir,SEM_ADAPTADOR_CONFIRMADO
crm_ai_chat_threads,2,Arquivo histórico segregado com adaptador de consulta a definir,SEM_ADAPTADOR_CONFIRMADO
crm_ai_chat_usage,1,Arquivo histórico segregado com adaptador de consulta a definir,SEM_ADAPTADOR_CONFIRMADO
crm_ai_knowledge_base,0,Arquivo histórico segregado com adaptador de consulta a definir,VAZIA_NESTE_LEVANTAMENTO
crm_ai_memory,148,Arquivo histórico segregado com adaptador de consulta a definir,SEM_ADAPTADOR_CONFIRMADO
crm_ai_playbooks,0,Arquivo histórico segregado com adaptador de consulta a definir,VAZIA_NESTE_LEVANTAMENTO
crm_ai_suggestion_events,0,Arquivo histórico segregado com adaptador de consulta a definir,VAZIA_NESTE_LEVANTAMENTO
crm_automation_rules,0,Arquivo histórico segregado com adaptador de consulta a definir,VAZIA_NESTE_LEVANTAMENTO
crm_automation_runs,0,Arquivo histórico segregado com adaptador de consulta a definir,VAZIA_NESTE_LEVANTAMENTO
crm_channel_events,49749,Arquivo histórico segregado com adaptador de consulta a definir,SEM_ADAPTADOR_CONFIRMADO
crm_channels,6,"channel_sessions somente histórico, STOPPED",MAPEAR_E_VALIDAR
crm_contact_consents,83,consentimentos com evidência e revogação,MAPEAR_E_VALIDAR
crm_contact_enrichment,2,Arquivo histórico segregado com adaptador de consulta a definir,SEM_ADAPTADOR_CONFIRMADO
crm_contact_import_jobs,0,Arquivo histórico segregado com adaptador de consulta a definir,VAZIA_NESTE_LEVANTAMENTO
crm_contact_merge_logs,23,Arquivo histórico segregado com adaptador de consulta a definir,SEM_ADAPTADOR_CONFIRMADO
crm_contact_products,0,Arquivo histórico segregado com adaptador de consulta a definir,VAZIA_NESTE_LEVANTAMENTO
crm_conversation_assignment_history,1436,Arquivo histórico segregado com adaptador de consulta a definir,SEM_ADAPTADOR_CONFIRMADO
crm_conversation_participants,136,Arquivo histórico segregado com adaptador de consulta a definir,SEM_ADAPTADOR_CONFIRMADO
crm_conversation_status_log,2454,Arquivo histórico segregado com adaptador de consulta a definir,SEM_ADAPTADOR_CONFIRMADO
crm_conversations,3254,conversations,MAPEAR_E_VALIDAR
crm_deal_ai_insights,0,Arquivo histórico segregado com adaptador de consulta a definir,VAZIA_NESTE_LEVANTAMENTO
crm_deal_forecasts,0,Arquivo histórico segregado com adaptador de consulta a definir,VAZIA_NESTE_LEVANTAMENTO
crm_deal_risk_signals,3,Arquivo histórico segregado com adaptador de consulta a definir,SEM_ADAPTADOR_CONFIRMADO
crm_deal_stage_history,98,Arquivo histórico segregado com adaptador de consulta a definir,SEM_ADAPTADOR_CONFIRMADO
crm_duplicate_suggestions,31,Arquivo histórico segregado com adaptador de consulta a definir,SEM_ADAPTADOR_CONFIRMADO
crm_files,1084,Storage privado + vínculos,MAPEAR_E_VALIDAR
crm_message_translations,19,Arquivo histórico segregado com adaptador de consulta a definir,SEM_ADAPTADOR_CONFIRMADO
crm_messages,60444,messages,MAPEAR_E_VALIDAR
crm_notes,108,notas/timeline com ACL equivalente,MAPEAR_E_VALIDAR
crm_objection_events,41,Arquivo histórico segregado com adaptador de consulta a definir,SEM_ADAPTADOR_CONFIRMADO
crm_pipeline_handoff_rules,0,Arquivo histórico segregado com adaptador de consulta a definir,VAZIA_NESTE_LEVANTAMENTO
crm_pipeline_permissions,0,Arquivo histórico segregado com adaptador de consulta a definir,VAZIA_NESTE_LEVANTAMENTO
crm_pipeline_stage_webhooks,0,Arquivo histórico segregado com adaptador de consulta a definir,VAZIA_NESTE_LEVANTAMENTO
crm_pipeline_webhook_logs,0,Arquivo histórico segregado com adaptador de consulta a definir,VAZIA_NESTE_LEVANTAMENTO
crm_process_handoffs,0,Arquivo histórico segregado com adaptador de consulta a definir,VAZIA_NESTE_LEVANTAMENTO
crm_product_catalog_config,0,Arquivo histórico segregado com adaptador de consulta a definir,VAZIA_NESTE_LEVANTAMENTO
crm_products,0,Arquivo histórico segregado com adaptador de consulta a definir,VAZIA_NESTE_LEVANTAMENTO
crm_revenue_forecasts,5,Arquivo histórico segregado com adaptador de consulta a definir,SEM_ADAPTADOR_CONFIRMADO
crm_saved_replies,0,Arquivo histórico segregado com adaptador de consulta a definir,VAZIA_NESTE_LEVANTAMENTO
crm_tags,7,tags nos contatos/conversas,MAPEAR_E_VALIDAR
crm_tasks,1606,crm_tasks,MAPEAR_E_VALIDAR
deals,5,crm_leads + crm_lead_links,MAPEAR_E_VALIDAR
followup_job_workspace_runs,4446,Arquivo histórico segregado com adaptador de consulta a definir,SEM_ADAPTADOR_CONFIRMADO
internal_conversations,1,Arquivo histórico segregado com adaptador de consulta a definir,SEM_ADAPTADOR_CONFIRMADO
internal_messages,0,Arquivo histórico segregado com adaptador de consulta a definir,VAZIA_NESTE_LEVANTAMENTO
knowledge_embeddings,0,Arquivo histórico segregado com adaptador de consulta a definir,VAZIA_NESTE_LEVANTAMENTO
mcp_agent_tokens,1,Revisar campos; segredos/sessões não são credenciais reutilizáveis,REVISAO_OPERACIONAL
mcp_audit_log,6,Arquivo histórico segregado com adaptador de consulta a definir,SEM_ADAPTADOR_CONFIRMADO
pipeline_stages,6,crm_stages,MAPEAR_E_VALIDAR
pipelines,1,crm_pipelines,MAPEAR_E_VALIDAR
platform_notifications,5,Arquivo histórico segregado com adaptador de consulta a definir,SEM_ADAPTADOR_CONFIRMADO
reseller_clients,0,Arquivo histórico segregado com adaptador de consulta a definir,VAZIA_NESTE_LEVANTAMENTO
reseller_commissions,0,Arquivo histórico segregado com adaptador de consulta a definir,VAZIA_NESTE_LEVANTAMENTO
user_availability,0,Arquivo histórico segregado com adaptador de consulta a definir,VAZIA_NESTE_LEVANTAMENTO
webhook_tokens,0,Arquivo histórico segregado com adaptador de consulta a definir,VAZIA_NESTE_LEVANTAMENTO
